1.0-Entropy,Accuracy,Coverage,F1Measure,actual_discrim_set_size,actual_num_trials,algorithm,alpha,beta,cluster similarity threshold,dataset,epsilon,estimated_discrim_set_size,estimated_trials,experiment_ID,maxiter,minqual,num_clusters,pca,quality_max,quality_mean,quality_median,quality_min,quality_std_dev,runtime_clustering_sec,runtime_metrics_sec,subspace similarity threshold,width
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,117,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.8,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,121,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.8,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,112,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.8,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.05,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,116,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.8,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.1,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,120,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,8.000000,1.000000,0.8,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,105,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,39.000000,9.000000,0.5,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,109,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,37.000000,9.000000,0.5,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,108,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,104.000000,37.000000,0.5,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,125,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,5.000000,0.000000,0.8,0.01
0.502822,0.579710,0.976812,0.753188,2.000000,10053.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,129,0,0.0,162.000000,y,4096.000000,2130.172840,2048.000000,2048.000000,301.494777,3.000000,0.000000,0.8,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.25,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,128,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.8,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,18718.000000,MOCCA,0.05,0.25,0.15,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,124,0,0.0,384.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,7.000000,1.000000,0.8,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,141,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,9.000000,0.000000,-1.0,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,130623.000000,MOCCA,0.05,0.4,0.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,2.000000,130623.000000,140,0,0.0,384.000000,y,1220.703125,1220.703125,1220.703125,1220.703125,0.000000,38.000000,1.000000,-1.0,0.01
0.513639,0.579710,1.000000,0.742565,2.000000,10053.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,1.000000,10053.000000,137,0,0.0,9276.000000,y,4096.000000,2095.027167,2048.000000,2048.000000,215.409921,38.000000,9.000000,0.8,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,0.8,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,132,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,94.000000,35.000000,0.8,0.01
0.545755,0.651042,1.000000,0.758687,2.000000,18718.000000,MOCCA,0.05,0.25,1.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,1.000000,18718.000000,136,0,0.0,18140.000000,y,32768.000000,32768.000000,32768.000000,32768.000000,0.000000,101.000000,36.000000,0.8,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.05,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,145,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,10.000000,0.000000,-1.0,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.1,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,149,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,9.000000,0.000000,-1.0,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.15,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,153,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,10.000000,0.000000,-1.0,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.25,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,157,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,9.000000,0.000000,-1.0,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.0,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,169,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,8.000000,0.000000,0.1,0.01
0.490283,0.579710,0.988406,0.758009,2.000000,50998.000000,MOCCA,0.05,0.4,0.05,/scratch/scratch95/h/hoffer/data/liver.arff,0.0050,2.000000,50998.000000,173,0,0.0,160.000000,y,488.281250,213.623047,195.312500,195.312500,51.590610,9.000000,0.000000,0.1,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,130623.000000,MOCCA,0.05,0.4,0.05,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,2.000000,130623.000000,144,0,0.0,384.000000,y,1220.703125,1220.703125,1220.703125,1220.703125,0.000000,43.000000,1.000000,-1.0,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,130623.000000,MOCCA,0.05,0.4,0.0,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,2.000000,130623.000000,168,0,0.0,384.000000,y,1220.703125,1220.703125,1220.703125,1220.703125,0.000000,39.000000,1.000000,0.1,0.01
0.572917,0.651042,1.000000,0.784771,2.000000,130623.000000,MOCCA,0.05,0.4,0.05,/scratch/scratch95/h/hoffer/data/diabetes.arff,0.0050,2.000000,130623.000000,172,0,0.0,384.000000,y,1220.703125,1220.703125,1220.703125,1220.703125,0.000000,38.000000,1.000000,0.1,0.01
